-27652  -28676  -27652  -27140  -26628  -27140  -27140  -27652  -25604  -26628  -26628  -24068  -24580  -24580  -24068  -23556  -23044  -22532  -23044  -23044  -26116  -29188  -29188  -31236  -33796  -35332  -35844  -35844  -35332  -36356  -36356  -35844  -36356  -36868  -38916  -38404  -38404  -38916  -37380  -39940  -41476  -43012  -45060  -45572  -46596  -48644  -46596  -46084  -45060  -42500  -40452  -37380  -35332  -34308  -32260  -29188  -26628  -23044  -20996  -19460  -17924  -20484  -25092  -30724  -35844  -37892  -42500  -41476  -40964  -42500  -42500  -43012  -45060  -46084  -41988  -41988  -40964  -41988  -41988  -43012  -49156  -48644  -51204  -48644  -47108  -47108  -44548  -41988  -43012  -43524  -40964  -39940  -37892  -36868  -38916  -39940  -42500  -44036  -44036  -45572  -43524  -42500  -41476  -40452  -40964  -40964  -39940  -37892  -37892  -36868  -37380  -35332  -37380  -36356  -36868  -36868  -37380  -37892  -37380  -37380  -37892  -37380  -37380  -36868  -37892  -38916  -38404  -37892  -39940  -38916  -36868  -35332  -31748  -25604  -23044  -20484  -17924  -22020  -23044  -23556  -20484  -18436  -17924  -16388  -17412  -26628  -31748  -38404  -43524  -40452  -39940  -43012  -41476  -40964  -40452  -40964  -40452  -42500  -42500  -44036  -43012  -43012  -43524  -43012  -41476  -43012  -43012  -41988  -41988  -40452  -38916  -37380  -36868  -35332  -32772  -29700  -29188  -26116  -26628  -26116  -27140  -29188  -30212  -32772  -37380  -41476  -40452  -40964  -40452  -41476  -41988  -41988  -41476  -41988  -43524  -40452  -31748  -24580  -22532  -23556  -25092  -26628  -27140  -34308  -36356  -36868  -36868  -36868  -37892  -39428  -38916  -36868  -36868  -38404  -37892  -39428  -38916  -38404  -38916  -40964  -39428  -42500  -40964  -32772  
-27140  -28676  -27652  -28164  -27140  -27140  -27140  -26116  -24580  -25604  -26116  -25092  -24068  -24068  -24580  -23556  -22532  -23044  -22532  -24580  -27140  -29700  -31236  -32260  -32772  -34820  -35332  -35844  -35844  -37380  -37380  -38404  -37380  -37892  -38404  -38404  -38404  -37892  -37892  -38916  -40964  -40452  -43524  -45572  -47620  -47620  -49156  -49668  -48644  -45572  -45060  -43012  -39428  -38404  -35332  -32772  -30212  -27140  -24068  -20996  -18948  -21508  -25604  -31236  -37380  -39428  -44036  -41988  -41476  -41476  -43012  -43012  -44036  -44548  -41988  -41988  -40964  -43524  -43524  -45060  -48132  -47620  -49156  -46596  -46596  -46596  -46084  -43012  -45572  -44036  -41476  -41476  -39940  -39940  -40452  -43012  -43524  -44036  -44548  -46084  -44036  -42500  -43012  -39428  -40964  -41476  -39940  -37380  -36868  -36868  -37380  -37380  -36868  -37380  -35844  -36868  -37380  -36868  -37892  -38916  -37892  -36356  -36868  -37892  -38916  -39428  -38916  -40964  -38404  -39428  -37892  -34820  -31748  -29188  -24068  -21508  -18948  -18948  -19460  -14852  -11268  -7172  -2052  -3076  -9220  -14852  -24068  -33284  -42500  -42500  -41988  -41988  -39940  -41476  -40964  -40452  -41476  -43012  -44548  -45572  -43524  -41476  -42500  -43012  -41988  -42500  -41988  -40452  -39940  -39428  -37892  -37892  -35844  -34308  -33796  -29700  -29188  -25604  -26628  -27140  -28676  -29700  -31236  -33284  -35332  -37892  -38916  -40452  -40452  -40452  -41476  -41988  -41988  -42500  -43012  -38916  -29700  -23556  -19460  -20996  -22532  -24068  -27652  -37380  -37892  -37892  -37892  -38404  -38916  -37380  -37380  -36868  -36868  -35332  -35332  -37892  -35844  -36356  -38404  -39940  -40964  -40452  -39428  -33796  
-27652  -28676  -28676  -28164  -27652  -27652  -26116  -26116  -25604  -25092  -25092  -25092  -24580  -24580  -24068  -24580  -23044  -23044  -23044  -23556  -25604  -29700  -31236  -32260  -33284  -34308  -35332  -36868  -36868  -37892  -38404  -38916  -39428  -38916  -38916  -38916  -38916  -38404  -37380  -38404  -39428  -39940  -40452  -43524  -46596  -46596  -49668  -49156  -49156  -46596  -45060  -43524  -43524  -40964  -37380  -34308  -31748  -28676  -25092  -22020  -20484  -21508  -26116  -32772  -38404  -41988  -44036  -43012  -43012  -42500  -42500  -42500  -43524  -43524  -41476  -41476  -40452  -41476  -43012  -44548  -46596  -46084  -48132  -46596  -46596  -47620  -47108  -44036  -44548  -42500  -42500  -42500  -41476  -42500  -40964  -43012  -45060  -44548  -44548  -44036  -45060  -42500  -42500  -39940  -40964  -39940  -38404  -37380  -38404  -35332  -36356  -38404  -36356  -36356  -36868  -37380  -37380  -36356  -36868  -37380  -35844  -35844  -35332  -37892  -36868  -37380  -38916  -40964  -38916  -39428  -39428  -38916  -37892  -36868  -29188  -23044  -22020  -17412  -13316  -7172  -516  3068  5628  4092  -1028  -8708  -18436  -29700  -35844  -36868  -41988  -41476  -39940  -40964  -41988  -40452  -40964  -41988  -44036  -43012  -42500  -42500  -43012  -41988  -43012  -43012  -41476  -39940  -39940  -40964  -38404  -38404  -35844  -33796  -31236  -28164  -29188  -28164  -25604  -27652  -30212  -31748  -32260  -33284  -35332  -37380  -39428  -41476  -39940  -40452  -40964  -42500  -41988  -41476  -40452  -35844  -27140  -20996  -17412  -17412  -18948  -19460  -24580  -34308  -36356  -36868  -36356  -36868  -36356  -35844  -35844  -35332  -37380  -35844  -32772  -35844  -35332  -34820  -35844  -36356  -36356  -37380  -36868  -34820  
-26116  -26628  -27652  -26628  -27140  -26116  -26116  -27652  -25604  -25092  -25092  -26116  -24580  -24068  -24068  -24068  -23556  -24068  -25604  -27140  -26628  -27652  -32772  -35332  -33796  -35332  -35332  -36868  -37892  -37892  -38916  -38916  -39940  -39940  -39940  -40452  -39428  -37892  -37892  -37380  -38404  -40452  -41476  -41476  -41988  -47108  -49156  -48132  -47620  -45060  -44036  -44036  -42500  -43524  -38916  -36356  -34820  -29700  -24580  -22020  -20484  -20996  -26116  -31748  -40964  -43012  -43012  -43524  -42500  -42500  -40964  -41476  -43524  -40452  -41476  -40964  -40964  -41988  -44036  -44036  -44548  -45572  -46084  -46596  -47108  -47108  -45572  -48644  -43524  -45060  -41988  -43524  -41988  -41988  -43524  -45060  -44548  -45572  -45060  -43524  -43012  -43012  -41476  -39428  -39428  -38916  -37892  -36356  -34820  -34820  -35332  -35332  -36868  -37380  -36356  -36868  -37892  -35332  -35332  -35844  -34308  -36356  -35844  -38404  -37892  -38916  -39940  -42500  -40964  -41476  -41988  -39428  -41476  -41476  -39940  -31236  -27140  -18948  -9220  -4  6140  7164  10236  8700  3068  -5636  -15876  -25604  -31236  -33796  -34308  -39428  -43012  -40452  -40452  -41476  -41476  -40452  -42500  -42500  -43012  -43524  -42500  -41476  -41988  -41476  -39940  -38916  -39940  -41988  -40964  -36868  -35332  -33284  -29700  -28164  -29188  -29700  -25604  -27140  -27652  -31748  -34308  -33284  -37380  -36868  -40452  -42500  -41476  -39940  -40964  -41476  -41476  -40964  -38916  -29700  -18436  -14340  -13828  -13316  -14340  -15364  -20996  -33284  -36356  -35844  -35844  -34308  -34820  -35332  -35332  -34308  -35844  -35332  -34308  -35332  -36356  -34820  -35332  -36356  -34308  -34820  -33284  -32260  
-25604  -25604  -26628  -27140  -26628  -26628  -26116  -27140  -26116  -26116  -25092  -25092  -24580  -24068  -24068  -24068  -23044  -23044  -26116  -26116  -27652  -25604  -26116  -30724  -33796  -34308  -35844  -35844  -38404  -37380  -37892  -38916  -39428  -38916  -40452  -39940  -39940  -38916  -37892  -36868  -37892  -38916  -39428  -41988  -43524  -47620  -48644  -46596  -47108  -45060  -44548  -44548  -44036  -43524  -41476  -37892  -37380  -31748  -27652  -26116  -24068  -24580  -27652  -32772  -39428  -44036  -44036  -38916  -39940  -38404  -38916  -40964  -41988  -40452  -40452  -42500  -42500  -41988  -44036  -43524  -44548  -45060  -45060  -45572  -46084  -45060  -45572  -46084  -44548  -44548  -43012  -42500  -40964  -40964  -45572  -45060  -45060  -45060  -43524  -43012  -43012  -41988  -41476  -39940  -38404  -37892  -36868  -36868  -35332  -34308  -34308  -35844  -36868  -36868  -37380  -37380  -35332  -34820  -34820  -34308  -34308  -35844  -34820  -37380  -37892  -38916  -38916  -40452  -40964  -41476  -42500  -39428  -42500  -40964  -39940  -39428  -33284  -22532  -8196  2556  7164  11260  11772  11260  3580  -5124  -14340  -24580  -31748  -34820  -35332  -34820  -37892  -42500  -40964  -43524  -41988  -41988  -42500  -43012  -43524  -44036  -42500  -42500  -41988  -41988  -39940  -39940  -39940  -41476  -39428  -36868  -36868  -34820  -29700  -26116  -26628  -28164  -26116  -27652  -27140  -30212  -32260  -33796  -37892  -36868  -39940  -42500  -41476  -39940  -40452  -40964  -39428  -37892  -33796  -25604  -14340  -9732  -7684  -9220  -11780  -13316  -20484  -29700  -32260  -31748  -32772  -32772  -34308  -34308  -34308  -33284  -35844  -34308  -37892  -36868  -35844  -34820  -34308  -34308  -32260  -32260  -32772  -31236  
-24068  -25604  -25604  -26628  -26628  -25604  -26116  -26628  -26116  -26116  -24068  -25092  -24580  -24068  -24068  -24068  -23044  -23556  -25092  -26116  -25092  -26116  -27652  -27140  -30212  -35332  -37380  -36868  -37892  -37892  -37892  -39428  -39428  -39428  -40452  -39940  -39428  -38404  -39428  -37380  -37892  -37892  -40452  -40452  -44548  -45060  -44036  -45060  -43524  -45572  -45060  -43524  -43012  -42500  -41988  -39940  -39428  -36868  -30724  -27652  -26116  -26628  -29188  -31748  -33284  -36868  -39428  -36356  -34820  -34820  -36868  -38916  -41988  -40964  -40964  -41476  -43524  -40452  -42500  -43012  -44036  -44548  -43524  -44548  -45060  -47108  -49156  -45060  -48644  -48644  -44036  -43524  -44548  -43012  -46084  -44036  -45060  -43524  -43012  -43524  -41988  -41988  -41476  -39428  -38404  -36868  -34308  -36868  -34308  -34308  -34820  -35332  -36356  -36356  -35844  -34308  -33284  -33796  -33796  -34820  -35844  -35844  -35844  -37380  -39428  -39940  -41476  -41476  -41476  -43012  -43524  -40964  -39940  -38404  -38916  -43012  -34308  -23044  -8708  1532  5628  11772  11260  9212  3068  -6660  -16388  -26628  -32260  -35332  -35332  -34308  -35332  -40452  -41988  -41988  -40452  -41476  -44036  -40964  -41988  -41988  -43012  -43012  -43012  -41988  -40452  -40964  -41476  -40964  -39940  -36356  -38404  -35332  -31748  -29188  -28676  -28676  -27652  -28164  -27652  -29700  -31236  -33796  -36868  -36868  -40964  -41988  -41476  -40452  -40964  -39940  -37892  -35844  -31748  -20996  -12804  -7172  -5636  -4612  -7172  -10756  -17924  -27140  -29188  -30724  -30724  -32260  -33284  -34308  -34820  -35332  -36868  -34820  -36356  -36868  -34820  -33284  -32772  -32772  -31748  -31748  -30212  -29700  
-25604  -25092  -24068  -25604  -25604  -25604  -25092  -25604  -26628  -26116  -25604  -25604  -24580  -24580  -24068  -23044  -25092  -22532  -24068  -25604  -25604  -25092  -28164  -29700  -30724  -32772  -35844  -36356  -37892  -39428  -38404  -39428  -39940  -39940  -39428  -39940  -40452  -38404  -39940  -37380  -38404  -37892  -37892  -39940  -38404  -37380  -39940  -41988  -43012  -41988  -41476  -41988  -41988  -42500  -41988  -40964  -41476  -38404  -34820  -30212  -26628  -27140  -27652  -28164  -28164  -27140  -27140  -28164  -29700  -31236  -35332  -39428  -42500  -43012  -44036  -43524  -42500  -42500  -43012  -41476  -41988  -45060  -45060  -45572  -45060  -45060  -46596  -47108  -45572  -46084  -45572  -44036  -44036  -43524  -46596  -45060  -44036  -45060  -43524  -43012  -41988  -43012  -41988  -39428  -39428  -37380  -35332  -35844  -34820  -33796  -35844  -35844  -34820  -36356  -34308  -34308  -32772  -32772  -33796  -33796  -33284  -34820  -39940  -37380  -37892  -41988  -43012  -42500  -41476  -41988  -40452  -39428  -40452  -39940  -40964  -39940  -29700  -19460  -10756  -1540  4092  7676  7676  2044  -5636  -12292  -22532  -31236  -32260  -36356  -35844  -34308  -39428  -39940  -40964  -43012  -39940  -41476  -43012  -43012  -40452  -43012  -43012  -43012  -41988  -43012  -41476  -41988  -41476  -41476  -40964  -36868  -35332  -33796  -33796  -30212  -28164  -27652  -27652  -28164  -27652  -28676  -29188  -32772  -38404  -36868  -41988  -41476  -40964  -40964  -39940  -39940  -36868  -32772  -29188  -22020  -11780  -4100  -3076  -3588  -3588  -7684  -14852  -22532  -29188  -30724  -29700  -31748  -32260  -33796  -34820  -35332  -35844  -34308  -34820  -35844  -33796  -33796  -32772  -32260  -31236  -30724  -28164  -27652  
-24580  -25092  -24580  -24068  -25092  -25092  -25092  -25604  -26628  -25604  -25604  -24068  -24068  -23556  -23556  -23556  -26116  -25092  -25092  -25604  -24580  -25604  -28676  -29700  -31748  -34820  -36356  -37380  -36356  -36868  -38916  -39428  -39428  -40452  -39940  -39940  -39428  -39940  -39428  -37892  -37380  -37892  -38404  -36868  -33796  -32260  -32260  -34820  -37380  -38404  -38916  -39940  -40964  -40964  -40964  -40964  -39940  -40452  -37380  -31748  -27140  -25092  -25092  -23556  -22020  -20996  -18948  -18436  -24580  -30212  -34308  -40452  -40964  -43524  -43012  -42500  -41988  -41988  -42500  -42500  -43524  -43524  -42500  -44548  -40452  -41988  -38404  -47620  -46084  -47108  -46084  -35844  -45572  -44036  -46084  -45572  -44548  -44548  -44036  -43524  -41476  -43012  -41988  -39428  -39428  -36868  -35332  -33796  -33284  -34820  -34820  -35332  -35844  -35844  -34308  -33284  -34820  -32260  -33284  -34308  -33796  -35332  -35844  -38916  -40964  -41476  -41476  -42500  -41476  -43524  -43524  -40452  -41988  -40452  -40964  -38404  -27652  -19972  -11780  -4612  508  -516  -2564  -8196  -16900  -21508  -26628  -30724  -33284  -34308  -36356  -35844  -39428  -39940  -41476  -44548  -40964  -41988  -41476  -42500  -41476  -44036  -43524  -43012  -41476  -44548  -41476  -41476  -40452  -41476  -40452  -37892  -32772  -31236  -30212  -28164  -25092  -26628  -27652  -29188  -30212  -32772  -32772  -36868  -37380  -36356  -41988  -41988  -40964  -40452  -41476  -40964  -39428  -33796  -29188  -20996  -12804  -3076  -516  -4  -1540  -5124  -12804  -19460  -25604  -28676  -31236  -30212  -30724  -32772  -34308  -35332  -36356  -34820  -36356  -35332  -34820  -35332  -33284  -29700  -29700  -26116  -28164  -28164  
-24580  -24068  -24068  -25092  -25092  -25092  -25092  -26116  -26628  -26116  -24580  -23044  -23556  -23556  -23044  -24068  -26116  -26628  -26628  -26116  -25604  -27652  -29188  -31236  -33284  -36868  -39428  -38916  -37892  -34820  -36356  -39428  -40452  -39428  -38916  -39428  -40452  -40964  -38404  -37892  -37892  -37892  -38404  -33796  -30724  -28676  -26116  -27140  -29188  -32772  -34820  -36868  -39428  -39428  -38404  -39940  -40452  -40452  -37380  -31748  -27140  -25092  -23044  -19972  -18948  -17924  -17412  -18948  -24068  -29700  -34820  -40452  -41988  -46596  -44548  -43012  -43524  -42500  -41476  -42500  -42500  -42500  -41988  -40964  -37380  -38916  -28676  -28164  -36868  -32772  -46596  -39428  -44036  -44548  -45572  -43524  -44036  -43012  -43524  -41988  -42500  -42500  -40964  -38916  -36868  -35332  -34820  -33284  -33284  -34820  -34820  -35332  -35844  -34820  -33796  -35844  -34820  -32772  -33284  -34308  -33796  -38916  -38404  -38916  -39940  -40964  -41988  -44036  -43012  -43012  -43012  -42500  -42500  -41988  -40452  -35332  -29700  -18948  -13316  -8196  -7172  -10756  -16388  -24580  -26116  -28164  -31748  -36868  -36356  -36356  -38404  -34820  -39428  -39940  -40964  -43524  -43012  -40964  -41476  -41476  -43524  -43524  -44036  -43012  -41476  -44548  -42500  -40452  -40964  -42500  -41476  -35332  -29700  -26116  -24068  -23556  -25604  -27140  -26116  -26628  -28676  -33284  -33796  -36356  -37380  -39940  -40452  -41988  -41476  -40452  -41988  -41988  -41476  -36868  -27652  -20484  -13828  -3588  -1028  508  -3076  -5124  -13316  -18948  -23556  -28676  -31236  -30724  -30724  -33796  -36868  -36868  -39428  -38404  -38916  -37892  -38404  -37380  -34308  -29700  -26116  -24580  -26628  -28164  
-24068  -23044  -23556  -25092  -24580  -24068  -24580  -25092  -26116  -27652  -25092  -23556  -23044  -23556  -24068  -23556  -25092  -25604  -28164  -27140  -25092  -28676  -29700  -31748  -34308  -37380  -38404  -39940  -38404  -35844  -31748  -32260  -37380  -40452  -40452  -39940  -40964  -38916  -36868  -39940  -40452  -38404  -35844  -35332  -31236  -26628  -24580  -23556  -26116  -29188  -31236  -32260  -37380  -38916  -38916  -37892  -38404  -39428  -37892  -33284  -29700  -28676  -24580  -19972  -18948  -17924  -19460  -21508  -24068  -29700  -36356  -40452  -46084  -51716  -47620  -45060  -43524  -43524  -43012  -41988  -41476  -42500  -40964  -38404  -37380  -37380  -30212  -516  -25604  -28164  -40452  -39940  -40452  -43524  -44548  -43012  -42500  -43012  -41988  -40452  -42500  -41476  -40452  -37380  -35844  -34820  -32260  -32772  -32772  -34820  -34820  -35844  -35844  -34820  -34308  -34820  -32772  -32260  -34820  -38404  -39428  -38916  -39940  -39940  -40452  -41476  -42500  -43012  -43524  -42500  -41476  -44036  -41476  -41988  -38404  -35332  -30724  -22532  -18436  -14852  -15876  -20996  -27652  -31236  -33796  -36356  -38404  -41988  -41476  -41988  -36868  -37380  -41988  -39428  -40452  -43012  -41476  -41476  -41476  -44036  -44548  -41476  -40964  -41476  -41988  -44036  -42500  -41988  -39428  -39428  -39940  -33796  -28676  -25604  -20996  -18948  -20996  -22532  -27140  -28676  -27652  -33284  -34308  -36868  -37380  -39940  -41476  -42500  -41988  -41476  -40964  -43012  -40964  -36868  -30212  -19460  -11268  -3076  -3076  -3076  -4612  -6660  -16388  -22020  -26628  -31236  -31748  -32772  -33284  -34820  -37380  -39428  -40452  -40452  -39940  -39428  -37892  -35332  -32260  -28676  -24068  -23044  -25092  -26116  
